CONTROLN,TARGET_D_PREDICT
188946,0.0
126296,0.0
155244,0.0
123985,0.0
119118,8.208910688182046
10120,1.166568691115284
59465,0.0
80803,3.880250898326473
2824,15.964349089247879
145014,0.0
182234,0.0
156420,0.0
143093,0.0
35698,26.887397825964875
100332,0.0
70051,0.0
9934,15.423234654160636
103877,0.0
66420,0.0
179558,0.0
157437,0.0
56631,0.0
130938,0.0
68956,0.0
61293,20.77429306949785
11552,11.370392262756349
131429,0.0
134948,0.0
36709,21.71674414898775
158535,0.0
89368,0.0
48572,13.891910108260035
42484,0.0
99703,0.0
177347,0.0
186937,0.0
64454,0.0
30010,0.0
153082,0.0
24161,11.921309698710235
29089,20.170908270153472
144349,0.0
61301,4.932797741989997
8678,13.386366918181638
164519,0.0
164929,18.806997626961866
113945,0.0
151578,0.0
63591,0.0
135530,5.101501788143864
53014,0.0
37139,0.0
32435,0.0
69209,0.0
5385,9.511346860251528
138794,25.33726311801802
184329,27.66673091559904
47772,0.0
135677,7.966516528326533
77786,0.0
24170,0.0
129199,0.0
138083,0.0
85439,19.398687713189034
18456,0.0
134794,0.0
56325,0.0
99059,6.30707062812996
177299,22.53932787944774
119871,6.754886644404788
149233,15.590623369112745
44717,0.0
166465,0.0
54193,0.0
87920,15.322445221768895
5566,25.01448148696112
8353,14.031725944213742
16685,0.0
185940,10.747797435653844
123820,12.302433388714144
153104,0.0
148494,0.0
106992,16.46093392918274
117910,0.0
176374,0.0
30453,10.909747370393301
39163,0.0
110100,0.0
117752,13.891089839926089
49279,0.0
123829,13.74441433753972
84949,0.0
176636,0.0
125595,0.0
41739,7.259070051575057
170191,21.379327277461158
132805,3.587474805003451
132121,13.511774670728382
179157,0.0
111148,0.0
72627,0.0
167857,11.968745620199886
74018,0.0
79647,9.981156612156742
161239,0.0
115867,19.815601484816707
100408,3.0157699166073755
54255,11.508780813967483
74950,8.353968442740705
86395,0.0
14955,21.933222936239964
60170,0.0
56940,0.0
53494,0.0
133354,0.0
126445,0.0
118981,21.366607641876953
8173,5.756626438121312
10066,6.585349268229834
180242,14.848347100017293
99417,16.73639707948471
59331,11.207016275738855
